ZeitInSec,ZeitInNanoSec,axisQMsr_LBR_iiwa_7_R800_1[0],axisQMsr_LBR_iiwa_7_R800_1[1],axisQMsr_LBR_iiwa_7_R800_1[2],axisQMsr_LBR_iiwa_7_R800_1[3],axisQMsr_LBR_iiwa_7_R800_1[4],axisQMsr_LBR_iiwa_7_R800_1[5],axisQMsr_LBR_iiwa_7_R800_1[6],,,,,,,
1618435722,744000000,107.354534,43.5046787,-65.6873148,22.8680903,-132.310636,84.9793758,32.0830413,,,,,,,
1618435722,794000000,108.82299,44.1002716,-66.5865972,23.1811182,-134.121012,86.1436691,32.5229888,,,,,,,
1618435722,844000000,110.291402,44.6958164,-67.4856874,23.4943453,-135.933856,87.306929,32.9615218,,,,,,,
1618435722,894000000,111.764456,45.2934521,-68.386326,23.807641,-137.746166,88.4770313,33.4026092,,,,,,,
1618435722,944000000,113.236439,45.8931099,-69.2853201,24.1192408,-139.558317,89.6462753,33.8432982,,,,,,,
1618435722,994000000,114.705266,46.4934235,-70.1852721,24.4336008,-141.369572,90.8131435,34.2809112,,,,,,,
1618435723,44000000,116.173936,47.0877838,-71.0846232,24.7474081,-143.181064,91.9770455,34.7204845,,,,,,,
1618435723,94000000,117.639786,47.6797066,-71.9819144,25.058716,-144.989073,93.1383415,35.1557044,,,,,,,
1618435723,144000000,119.080691,48.2599221,-72.8726653,25.3684481,-146.7818,94.284813,35.5916522,,,,,,,
1618435723,194000000,120.469713,48.8251309,-73.7229109,25.6647974,-148.489663,95.38405,36.0059604,,,,,,,
1618435723,244000000,121.781821,49.3558014,-74.5194884,25.9431258,-150.098743,96.416528,36.3979732,,,,,,,
1618435723,294000000,122.99889,49.8500523,-75.2610999,26.2048201,-151.595839,97.3798642,36.7622627,,,,,,,
1618435723,344000000,124.112553,50.2994858,-75.9414592,26.4423273,-152.966553,98.2620904,37.0945957,,,,,,,
1618435723,394000000,125.116196,50.7070065,-76.5561408,26.6556132,-154.203026,99.0590009,37.3937843,,,,,,,
1618435723,444000000,126.00811,51.0693734,-77.1042212,26.8460406,-155.306191,99.7653634,37.6610885,,,,,,,
1618435723,494000000,126.790378,51.3869881,-77.583747,27.0128199,-156.272362,100.387014,37.8955333,,,,,,,
1618435723,544000000,127.465581,51.65868,-77.9939971,27.1527377,-157.102725,100.922104,38.0989898,,,,,,,
1618435723,594000000,128.029142,51.8885209,-78.3394519,27.276787,-157.793891,101.368451,38.2661193,,,,,,,
1618435723,644000000,128.482949,52.071045,-78.615813,27.3702292,-158.35571,101.72552,38.3959091,,,,,,,
1618435723,694000000,128.824219,52.2109284,-78.8269084,27.4453379,-158.77703,101.99256,38.50088,,,,,,,
1618435723,744000000,129.06073,52.3048375,-78.9708499,27.4968878,-159.067086,102.178819,38.5734275,,,,,,,
1618435723,794000000,129.203292,52.3641705,-79.0563064,27.524903,-159.244921,102.295209,38.6094867,,,,,,,
1618435723,844000000,129.279111,52.3934319,-79.1008903,27.5419009,-159.334361,102.350519,38.6330627,,,,,,,
1618435723,894000000,129.311771,52.4065159,-79.1219359,27.5469649,-159.372802,102.37977,38.6496143,,,,,,,
1618435723,944000000,129.31767,52.4121911,-79.1327712,27.5507861,-159.391094,102.381723,38.6533187,,,,,,,
1618435723,994000000,129.319719,52.4122082,-79.1322494,27.5515963,-159.395209,102.383309,38.653329,,,,,,,
1618435724,44000000,129.322754,52.4122254,-79.1321979,27.5519362,-159.395209,102.384212,38.6533187,,,,,,,
1618435724,94000000,129.327008,52.4122254,-79.1321773,27.5528288,-159.395209,102.384806,38.6533359,,,,,,,
1618435724,144000000,129.329216,52.4122391,-79.1321773,27.5527739,-159.39522,102.385105,38.6533359,,,,,,,
1618435724,194000000,129.327602,52.4122529,-79.1321738,27.5525954,-159.39522,102.385304,38.6533256,,,,,,,
1618435724,244000000,129.324656,52.4122666,-79.1321567,27.5528769,-159.395209,102.385393,38.6533187,,,,,,,
1618435724,294000000,129.316516,52.4123868,-79.1320125,27.557934,-159.391649,102.385287,38.6517017,,,,,,,
1618435724,344000000,129.287612,52.4130974,-79.126533,27.5978178,-159.381251,102.375526,38.6299076,,,,,,,
1618435724,394000000,129.225941,52.417104,-79.1174487,27.6916377,-159.353181,102.317117,38.6025516,,,,,,,
1618435724,444000000,129.110886,52.4316884,-79.0995994,27.8701346,-159.320683,102.255435,38.5576553,,,,,,,
1618435724,494000000,128.914983,52.4603043,-79.0683021,28.1631674,-159.254485,102.154402,38.4638973,,,,,,,
1618435724,544000000,128.619938,52.5041707,-79.0252391,28.6016696,-159.166479,101.985062,38.3360473,,,,,,,
1618435724,594000000,128.208703,52.5638333,-78.9593658,29.2023917,-159.038082,101.759942,38.1614677,,,,,,,
1618435724,644000000,127.689537,52.6390004,-78.8777717,29.9674624,-158.873803,101.477243,37.9279121,,,,,,,
